# BEAST v1.10.5 Prerelease #23570d1
# Generated Wed Mar 15 19:08:21 BRT 2023 [seed=111]
# -seed 111 -prefix seed1 simulated_data_n=5_L=5000_rate=0.2.xml
state	joint	prior	likelihood	treeModel.rootHeight	treeLength	constant.popSize	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
0	-20842.487509498987	-12.330065860651407	-20830.157443638334	3.296992361345218	7.422420265619431	1.0	0.2	0.2	-20830.157443638334	0.0	-5.414979220008497
1000	-14717.308397909957	-9.558117197703755	-14707.750280712253	0.44291763720013194	1.7498191062143702	1.0	0.2	0.19999999999999998	-14707.750280712253	0.0	-2.643030557060846
2000	-14718.5866807486	-9.529579817980775	-14709.057100930619	0.4322560984738778	1.7135500427225603	1.0	0.2	0.2	-14709.057100930619	0.0	-2.6144931773378657
3000	-14718.380218612963	-9.526147452892943	-14708.85407116007	0.4473937179785262	1.7470041176898483	1.0	0.2	0.19999999999999998	-14708.85407116007	0.0	-2.611060812250032
4000	-14718.545092245118	-9.588056168039204	-14708.95703607708	0.43600648764410893	1.7435804143159508	1.0	0.2	0.20000000000000004	-14708.95703607708	0.0	-2.6729695273962943
5000	-14720.017979049766	-9.669300244335702	-14710.34867880543	0.4541713475858608	1.8077005710549592	1.0	0.2	0.19999999999999998	-14710.34867880543	0.0	-2.7542136036927922
6000	-14718.688955654576	-9.544574435489224	-14709.144381219086	0.4582229627664909	1.7700003333467822	1.0	0.2	0.2	-14709.144381219086	0.0	-2.6294877948463142
7000	-14718.676508592065	-9.484084065634521	-14709.19242452643	0.4189988023301231	1.6771520475870327	1.0	0.2	0.2	-14709.19242452643	0.0	-2.5689974249916108
8000	-14719.200774322859	-9.46870237927444	-14709.732071943585	0.42473528080769185	1.6873638232366157	1.0	0.2	0.2	-14709.732071943585	0.0	-2.553615738631529
9000	-14719.971015039488	-9.667185328683543	-14710.303829710803	0.46116942977412767	1.8233427458697764	1.0	0.2	0.2	-14710.303829710803	0.0	-2.7520986880406326
10000	-14717.658628378016	-9.476225124204618	-14708.182403253812	0.44412201789071576	1.7180975808367147	1.0	0.2	0.19999999999999996	-14708.182403253812	0.0	-2.561138483561707
11000	-14718.379160227332	-9.580043502789762	-14708.799116724542	0.4443352591065304	1.7529442893647804	1.0	0.2	0.20000000000000004	-14708.799116724542	0.0	-2.664956862146852
12000	-14718.157724054608	-9.547998739040475	-14708.609725315568	0.4359255664234218	1.7350118337307687	1.0	0.2	0.2	-14708.609725315568	0.0	-2.632912098397565
13000	-14717.636090639815	-9.531499599479023	-14708.104591040335	0.43607958460865	1.727157982730274	1.0	0.2	0.19999999999999996	-14708.104591040335	0.0	-2.616412958836113
14000	-14717.160626457355	-9.4977416986748	-14707.66288475868	0.4389936100501409	1.717480418982463	1.0	0.2	0.19999999999999998	-14707.66288475868	0.0	-2.58265505803189
15000	-14717.948521008888	-9.561561804620881	-14708.386959204267	0.43960158879050487	1.7388921917679343	1.0	0.2	0.19999999999999998	-14708.386959204267	0.0	-2.646475163977971
16000	-14720.976500581975	-9.353763034764022	-14711.622737547212	0.43180605440132513	1.6522127185774105	1.0	0.2	0.2	-14711.622737547212	0.0	-2.438676394121111
17000	-14717.443781667302	-9.482307211530287	-14707.961474455771	0.43114030085860955	1.697291969299474	1.0	0.2	0.2	-14707.961474455771	0.0	-2.567220570887378
18000	-14724.010589005447	-9.422142633137856	-14714.588446372309	0.4187279891952987	1.6476766354576649	1.0	0.2	0.20000000000000004	-14714.588446372309	0.0	-2.5070559924949465
19000	-14722.12335529201	-9.457008935362158	-14712.666346356647	0.4228968071347519	1.6707846925226801	1.0	0.2	0.2	-14712.666346356647	0.0	-2.5419222947192472
20000	-14717.867436557983	-9.526507082090706	-14708.340929475891	0.427432610875809	1.7056707809601348	1.0	0.2	0.20000000000000004	-14708.340929475891	0.0	-2.611420441447797
21000	-14717.927107420785	-9.526366588904148	-14708.400740831881	0.4395967399491717	1.7337728119933762	1.0	0.2	0.2	-14708.400740831881	0.0	-2.6112799482612377
22000	-14717.953927321878	-9.479549966606374	-14708.474377355271	0.42623888643159613	1.6929928718911529	1.0	0.2	0.19999999999999998	-14708.474377355271	0.0	-2.5644633259634637
23000	-14717.586993080075	-9.472960750898732	-14708.114032329177	0.43618335483733284	1.7050968040813432	1.0	0.2	0.19999999999999998	-14708.114032329177	0.0	-2.5578741102558213
24000	-14719.86667242444	-9.411378810181692	-14710.455293614257	0.4185359651173936	1.6501724919697702	1.0	0.2	0.19999999999999996	-14710.455293614257	0.0	-2.4962921695387825
25000	-14718.094711011485	-9.54730865036866	-14708.547402361117	0.4330969530438518	1.7265995083052024	1.0	0.2	0.2	-14708.547402361117	0.0	-2.6322220097257505
26000	-14718.495417725971	-9.491539445964777	-14709.003878280007	0.43061443882787925	1.6961381209857214	1.0	0.2	0.20000000000000004	-14709.003878280007	0.0	-2.576452805321867
27000	-14717.974689819666	-9.53972234426484	-14708.434967475401	0.4383723824224844	1.7300448231807428	1.0	0.2	0.19999999999999998	-14708.434967475401	0.0	-2.62463570362193
28000	-14718.140017136842	-9.59124166722378	-14708.548775469619	0.4378860997040892	1.750855352300736	1.0	0.2	0.2	-14708.548775469619	0.0	-2.6761550265808696
29000	-14719.719247461042	-9.43249082796056	-14710.28675663308	0.4471690797000674	1.7046468939042045	1.0	0.2	0.19999999999999998	-14710.28675663308	0.0	-2.51740418731765
30000	-14718.145211541678	-9.598445641443103	-14708.546765900235	0.4499549177509396	1.7778530305382274	1.0	0.2	0.2	-14708.546765900235	0.0	-2.6833590008001935
31000	-14717.768587525288	-9.479884124074433	-14708.288703401215	0.4309901311436969	1.6983870572359376	1.0	0.2	0.20000000000000004	-14708.288703401215	0.0	-2.564797483431523
32000	-14717.397809675942	-9.540676017599878	-14707.857133658343	0.4450385114524508	1.746244868603888	1.0	0.2	0.20000000000000004	-14707.857133658343	0.0	-2.6255893769569676
33000	-14719.617991418987	-9.58614082317993	-14710.031850595808	0.446885545016305	1.7684879630846222	1.0	0.2	0.2	-14710.031850595808	0.0	-2.67105418253702
34000	-14718.247677569403	-9.514752929803034	-14708.7329246396	0.433920385290844	1.716804451091432	1.0	0.2	0.20000000000000007	-14708.7329246396	0.0	-2.599666289160124
35000	-14718.531429854125	-9.427313957488337	-14709.104115896636	0.41958354306852247	1.6607260838149243	1.0	0.2	0.20000000000000004	-14709.104115896636	0.0	-2.512227316845428
36000	-14719.562653722478	-9.406980848009557	-14710.155672874469	0.43256689101170365	1.6682705188138574	1.0	0.2	0.2	-14710.155672874469	0.0	-2.491894207366646
37000	-14718.64330254311	-9.654022068987842	-14708.989280474123	0.4512667821197184	1.79740834857764	1.0	0.2	0.19999999999999998	-14708.989280474123	0.0	-2.738935428344932
38000	-14719.116635552165	-9.62765945926018	-14709.488976092905	0.44695814147419954	1.7757297936118785	1.0	0.2	0.19999999999999996	-14709.488976092905	0.0	-2.712572818617269
39000	-14719.739187362986	-9.535730890194294	-14710.203456472791	0.4271248907163053	1.7054408345712129	1.0	0.2	0.2	-14710.203456472791	0.0	-2.6206442495513853
40000	-14717.722241355445	-9.58829241724542	-14708.133948938199	0.4395015501759024	1.7502985027088245	1.0	0.2	0.20000000000000004	-14708.133948938199	0.0	-2.6732057766025106
41000	-14721.172845566722	-9.51267446887056	-14711.66017109785	0.4670023983999325	1.7708310072920228	1.0	0.2	0.20000000000000004	-14711.66017109785	0.0	-2.5975878282276503
42000	-14718.909372164873	-9.467320663599425	-14709.442051501273	0.4288253974395343	1.6877005492497885	1.0	0.2	0.20000000000000007	-14709.442051501273	0.0	-2.5522340229565152
43000	-14718.444464136743	-9.460466210773529	-14708.983997925969	0.41906692580240656	1.671398207733432	1.0	0.2	0.19999999999999996	-14708.983997925969	0.0	-2.545379570130619
44000	-14718.77706647399	-9.65199039158895	-14709.1250760824	0.4473048992524053	1.7903203014556064	1.0	0.2	0.19999999999999998	-14709.1250760824	0.0	-2.7369037509460385
45000	-14718.287214244023	-9.613970289665506	-14708.673243954358	0.45394518224821595	1.7854960125277262	1.0	0.2	0.2	-14708.673243954358	0.0	-2.698883649022595
46000	-14717.63965114646	-9.54622149462085	-14708.09342965184	0.43468120393973586	1.729589662761187	1.0	0.2	0.20000000000000004	-14708.09342965184	0.0	-2.63113485397794
47000	-14717.679520663582	-9.488512807880563	-14708.191007855701	0.42886605375867765	1.6987887208778543	1.0	0.2	0.2	-14708.191007855701	0.0	-2.573426167237652
48000	-14719.217746033088	-9.569296253157843	-14709.64844977993	0.45778299656453986	1.7785003099705545	1.0	0.2	0.20000000000000004	-14709.64844977993	0.0	-2.6542096125149333
49000	-14718.767695386881	-9.502185066272721	-14709.265510320609	0.43576413289644694	1.714125400868566	1.0	0.2	0.20000000000000007	-14709.265510320609	0.0	-2.587098425629812
50000	-14717.80583996218	-9.45935660509164	-14708.346483357089	0.43468807365451734	1.6980812941762593	1.0	0.2	0.2	-14708.346483357089	0.0	-2.5442699644487305
51000	-14719.158151450181	-9.672482234210158	-14709.485669215972	0.4520371721785333	1.8046968283206024	1.0	0.2	0.20000000000000004	-14709.485669215972	0.0	-2.7573955935672485
52000	-14720.302471055655	-9.598422677173716	-14710.70404837848	0.440801432620003	1.761540080160268	1.0	0.2	0.2	-14710.70404837848	0.0	-2.6833360365308065
53000	-14719.134933136569	-9.549569386152367	-14709.585363750417	0.4295332810551631	1.7189887203271819	1.0	0.2	0.2	-14709.585363750417	0.0	-2.634482745509458
54000	-14721.823368121637	-9.586751711445213	-14712.236616410191	0.4682274924797567	1.7974072188008097	1.0	0.2	0.2	-14712.236616410191	0.0	-2.6716650708023026
55000	-14718.69766692345	-9.450310375467279	-14709.247356547983	0.4170731767489766	1.6633453789910235	1.0	0.2	0.2	-14709.247356547983	0.0	-2.5352237348243696
56000	-14718.703300351404	-9.487079193879627	-14709.216221157525	0.42478720433180317	1.6861110738094063	1.0	0.2	0.19999999999999996	-14709.216221157525	0.0	-2.5719925532367176
57000	-14718.688288312364	-9.615274000645893	-14709.073014311718	0.45542886494157137	1.7860764909565303	1.0	0.2	0.2	-14709.073014311718	0.0	-2.700187360002983
58000	-14719.396591135426	-9.4637114791411	-14709.932879656286	0.43212316421936425	1.6909295553475874	1.0	0.2	0.2	-14709.932879656286	0.0	-2.54862483849819
59000	-14718.13300245762	-9.546734267912484	-14708.586268189707	0.431233050085688	1.7182007363054042	1.0	0.2	0.2	-14708.586268189707	0.0	-2.6316476272695732
60000	-14718.667310325472	-9.498727321376181	-14709.168583004097	0.45145986412452493	1.741007725224253	1.0	0.2	0.20000000000000004	-14709.168583004097	0.0	-2.583640680733272
61000	-14719.225301249828	-9.571408769175614	-14709.653892480652	0.43401314116081396	1.7366376222343547	1.0	0.2	0.20000000000000004	-14709.653892480652	0.0	-2.656322128532704
62000	-14719.621900444365	-9.432484503165755	-14710.189415941199	0.44176791341862576	1.6962665360786982	1.0	0.2	0.2	-14710.189415941199	0.0	-2.517397862522845
63000	-14719.168997628534	-9.463957769007653	-14709.705039859527	0.42706276696839957	1.6803013738946184	1.0	0.2	0.19999999999999998	-14709.705039859527	0.0	-2.548871128364742
64000	-14719.619507166843	-9.638715472629166	-14709.980791694214	0.4443114007866296	1.7744699530984938	1.0	0.2	0.19999999999999998	-14709.980791694214	0.0	-2.7236288319862556
65000	-14718.229635876327	-9.517423130111503	-14708.712212746215	0.45338493488265674	1.7466097882228273	1.0	0.2	0.20000000000000004	-14708.712212746215	0.0	-2.6023364894685925
66000	-14717.982918336065	-9.43303631336127	-14708.549882022704	0.43619405566291214	1.6891017770727947	1.0	0.2	0.20000000000000004	-14708.549882022704	0.0	-2.5179496727183617
67000	-14720.206882923128	-9.505056658777526	-14710.70182626435	0.4485303298409052	1.7359223696252106	1.0	0.2	0.19999999999999998	-14710.70182626435	0.0	-2.589970018134617
68000	-14719.571689044174	-9.489954216494745	-14710.08173482768	0.4459238733063032	1.7267115110602553	1.0	0.2	0.2	-14710.08173482768	0.0	-2.574867575851835
69000	-14721.033941937716	-9.50071597664425	-14711.533225961071	0.44883963033956775	1.7262430546331198	1.0	0.2	0.2	-14711.533225961071	0.0	-2.585629336001339
70000	-14718.257529248072	-9.443783134302661	-14708.81374611377	0.4177577058227527	1.6620545710109835	1.0	0.2	0.20000000000000007	-14708.81374611377	0.0	-2.528696493659751
71000	-14717.882652846618	-9.563817363363896	-14708.318835483255	0.4387601292750465	1.743986338455978	1.0	0.2	0.20000000000000004	-14708.318835483255	0.0	-2.6487307227209853
