No.	Size	Cred	Members
1	2	0.1621837816218378	{t2,t5}
2	3	0.07939206079392061	{t1,t2,t5}
3	1	1.0	{t5}
4	2	0.1655834416558344	{t1,t5}
5	3	0.08389161083891611	{t2,t3,t5}
6	4	0.1024897510248975	{t1,t2,t3,t5}
7	2	0.17648235176482352	{t3,t5}
8	3	0.0902909709029097	{t1,t3,t5}
9	3	0.07999200079992001	{t2,t4,t5}
10	4	0.0978902109789021	{t1,t2,t4,t5}
11	2	0.16668333166683333	{t4,t5}
12	3	0.08259174082591741	{t1,t4,t5}
13	4	0.10028997100289971	{t2,t3,t4,t5}
14	5	1.0	{t1,t2,t3,t4,t5}
15	3	0.08339166083391661	{t3,t4,t5}
16	4	0.09859014098590141	{t1,t3,t4,t5}
17	1	1.0	{t2}
18	2	0.1685831416858314	{t1,t2}
19	1	1.0	{t1}
20	2	0.17178282171782822	{t2,t3}
21	3	0.0866913308669133	{t1,t2,t3}
22	1	1.0	{t3}
23	2	0.1615838416158384	{t1,t3}
24	2	0.1675832416758324	{t2,t4}
25	3	0.08349165083491651	{t1,t2,t4}
26	1	1.0	{t4}
27	2	0.16778322167783222	{t1,t4}
28	3	0.0856914308569143	{t2,t3,t4}
29	4	0.09449055094490551	{t1,t2,t3,t4}
30	2	0.1591840815918408	{t3,t4}
31	3	0.08339166083391661	{t1,t3,t4}

