# BEAST v1.10.5 Prerelease #23570d1
# Generated Tue Aug 16 19:24:10 BRT 2022 [seed=1]
# -seed 1 -prefix seed_1_ simulated_data_n=5_L=5000_rate=0.2.xml
state	joint	prior	likelihood	treeModel.rootHeight	treeLength	constant.popSize	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
0	-18527.79412994323	-7.894729976315226	-18519.899399966915	0.3928104296312266	1.0295209381054253	1.0	0.2	0.2	-18519.899399966915	0.0	-0.9796433356723158
1000	-14717.964334296039	-9.522693202604758	-14708.441641093434	0.43205928608234057	1.7163283679760148	1.0	0.2	0.19999999999999998	-14708.441641093434	0.0	-2.6076065619618483
2000	-14719.91920760073	-9.511248930476224	-14710.407958670254	0.4249028529271076	1.6961930675170274	1.0	0.2	0.2	-14710.407958670254	0.0	-2.5961622898333148
3000	-14724.50819937956	-9.551902302004082	-14714.956297077555	0.4825468508734738	1.8098664094860917	1.0	0.2	0.20000000000000004	-14714.956297077555	0.0	-2.6368156613611724
4000	-14719.646491060257	-9.553904759534253	-14710.092586300723	0.44131554452227306	1.7490434761449551	1.0	0.2	0.19999999999999998	-14710.092586300723	0.0	-2.638818118891344
5000	-14719.590313473967	-9.395602436679315	-14710.194711037288	0.43539484010553325	1.6707964240809199	1.0	0.2	0.19999999999999998	-14710.194711037288	0.0	-2.4805157960364057
6000	-14717.625395873854	-9.566100035450614	-14708.059295838404	0.45114855336673126	1.7614568313952816	1.0	0.2	0.19999999999999996	-14708.059295838404	0.0	-2.6510133948077037
7000	-14718.156511443263	-9.467439988673483	-14708.68907145459	0.4467958174222267	1.71877992797019	1.0	0.2	0.19999999999999998	-14708.68907145459	0.0	-2.5523533480305725
8000	-14720.364239247747	-9.592598054652656	-14710.771641193094	0.4472104380447316	1.7599334822430859	1.0	0.2	0.20000000000000004	-14710.771641193094	0.0	-2.677511414009747
9000	-14719.312482930118	-9.501847034900312	-14709.810635895217	0.4286859010362673	1.6998748142897815	1.0	0.2	0.2	-14709.810635895217	0.0	-2.586760394257402
10000	-14718.911469335248	-9.541756021123451	-14709.369713314125	0.4584344305015442	1.7694275357473201	1.0	0.2	0.20000000000000007	-14709.369713314125	0.0	-2.62666938048054
11000	-14718.817297806188	-9.473464245468652	-14709.34383356072	0.4330550865809	1.7019412736277575	1.0	0.2	0.2	-14709.34383356072	0.0	-2.5583776048257425
12000	-14718.117828738665	-9.525067661320099	-14708.592761077345	0.4496684330604453	1.7430452961010172	1.0	0.2	0.2	-14708.592761077345	0.0	-2.609981020677189
13000	-14717.767155108686	-9.595371338472646	-14708.171783770213	0.44304611967208707	1.7641258337163266	1.0	0.2	0.20000000000000007	-14708.171783770213	0.0	-2.680284697829735
14000	-14720.483681948508	-9.414258327073307	-14711.069423621435	0.4128343019939955	1.639010277829964	1.0	0.2	0.19999999999999998	-14711.069423621435	0.0	-2.499171686430397
15000	-14717.516550340199	-9.468585698890733	-14708.047964641308	0.4319689000092577	1.6969622451824804	1.0	0.2	0.19999999999999996	-14708.047964641308	0.0	-2.5534990582478234
16000	-14717.767120691848	-9.588585239965848	-14708.178535451882	0.44071139829548234	1.7528788173638363	1.0	0.2	0.19999999999999996	-14708.178535451882	0.0	-2.6734985993229388
17000	-14717.96619253826	-9.4600215782265	-14708.506170960034	0.43864135329350096	1.7057821313786838	1.0	0.2	0.2	-14708.506170960034	0.0	-2.5449349375835904
18000	-14718.41517698716	-9.535732008433504	-14708.879444978727	0.43570198742426414	1.722594472383287	1.0	0.2	0.2	-14708.879444978727	0.0	-2.620645367790594
19000	-14720.93743398678	-9.625193790788419	-14711.312240195992	0.4402804282124251	1.7639268601199294	1.0	0.2	0.19999999999999998	-14711.312240195992	0.0	-2.7101071501455096
20000	-14718.502904508214	-9.5056290599819	-14708.997275448231	0.45499450152058807	1.7464467188676536	1.0	0.2	0.2	-14708.997275448231	0.0	-2.5905424193389903
21000	-14717.44835180174	-9.499483460778954	-14707.948868340962	0.4312948452210376	1.703095387903692	1.0	0.2	0.19999999999999998	-14707.948868340962	0.0	-2.584396820136045
22000	-14718.27286794797	-9.56506602895327	-14708.707801919016	0.43658621731145336	1.741939968487647	1.0	0.2	0.20000000000000004	-14708.707801919016	0.0	-2.6499793883103595
23000	-14720.353138532859	-9.519507117086995	-14710.833631415771	0.43895451604910174	1.722507667230062	1.0	0.2	0.2	-14710.833631415771	0.0	-2.6044204764440844
24000	-14722.922133520164	-9.519065784185505	-14713.403067735979	0.44717389139046704	1.7498910762785218	1.0	0.2	0.20000000000000004	-14713.403067735979	0.0	-2.6039791435425954
25000	-14719.491557524294	-9.503413279196606	-14709.988144245097	0.4349428221009115	1.709888593628756	1.0	0.2	0.2	-14709.988144245097	0.0	-2.588326638553696
26000	-14720.584880290608	-9.667753050659126	-14710.917127239949	0.46477516509441674	1.8221040147856051	1.0	0.2	0.2	-14710.917127239949	0.0	-2.752666410016217
27000	-14719.007436728756	-9.62108577645354	-14709.386350952303	0.44212272952363985	1.7656468840302197	1.0	0.2	0.20000000000000007	-14709.386350952303	0.0	-2.7059991358106315
28000	-14720.391343463096	-9.631726573705363	-14710.75961688939	0.44158150002401786	1.7705109701523232	1.0	0.2	0.2	-14710.75961688939	0.0	-2.7166399330624533
29000	-14717.725175246256	-9.543815162510473	-14708.181360083745	0.44659381086370403	1.745551178255056	1.0	0.2	0.2	-14708.181360083745	0.0	-2.6287285218675636
